Respondent sequence number,Body Measures Component Status Code,Weight (kg),Weight Comment,Recumbent Length (cm),Recumbent Length Comment,Head Circumference (cm),Head Circumference Comment,Standing Height (cm),Standing Height Comment,Body Mass Index (kg/m**2),Upper Leg Length (cm),Upper Leg Length Comment,Upper Arm Length (cm),Upper Arm Length Comment,Arm Circumference (cm),Arm Circumference Comment,Waist Circumference (cm),Waist Circumference Comment,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security Income,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Data release cycle,Interview/Examination status,Gender,Age in years at screening,Age in months at screening - 0 to 24 mos,Race/Hispanic origin,Race/Hispanic origin w/ NH Asian,Six month time period,Country of birth,Education level - Adults 20+,Pregnancy status at exam,Language of SP Interview,Proxy used in SP Interview?,Interpreter used in SP Interview?,Language of Family Interview,Proxy used in Family Interview?,Interpreter used in Family Interview?,Language of MEC Interview,Proxy used in MEC Interview?,Interpreter used in MEC Interview?,Language of ACASI Interview,Masked variance pseudo-PSU,Masked variance pseudo-stratum,Ratio of family income to poverty,Number of foods reported,Energy (kcal),Protein (gm),Carbohydrate (gm),Total sugars (gm),Dietary fiber (gm),Total fat (gm),Total saturated fatty acids (gm),Total monounsaturated fatty acids (gm),Total polyunsaturated fatty acids (gm),Cholesterol (mg),Vitamin E as alpha-tocopherol (mg),Added alpha-tocopherol (Vitamin E) (mg),Retinol (mcg),"Vitamin A, RAE (mcg)",Alpha-carotene (mcg),Beta-carotene (mcg),Beta-cryptoxanthin (mcg),Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (Vitamin B1) (mg),Riboflavin (Vitamin B2) (mg),Niacin (mg),Vitamin B6 (mg),Total folate (mcg),Folic acid (mcg),Food folate (mcg),"Folate, DFE (mcg)",Total choline (mg),Vitamin B12 (mcg),Added vitamin B12 (mcg),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin K (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Sodium (mg),Potassium (mg),Selenium (mcg),Caffeine (mg),Theobromine (mg),Alcohol (gm),Moisture (gm),SFA 4:0 (Butanoic) (gm),SFA 6:0 (Hexanoic) (gm),SFA 8:0 (Octanoic) (gm),SFA 10:0 (Decanoic) (gm),SFA 12:0 (Dodecanoic) (gm),SFA 14:0 (Tetradecanoic) (gm),SFA 16:0 (Hexadecanoic) (gm),SFA 18:0 (Octadecanoic) (gm),MFA 16:1 (Hexadecenoic) (gm),MFA 18:1 (Octadecenoic) (gm),MFA 20:1 (Eicosenoic) (gm),MFA 22:1 (Docosenoic) (gm),PFA 18:2 (Octadecadienoic) (gm),PFA 18:3 (Octadecatrienoic) (gm),PFA 18:4 (Octadecatetraenoic) (gm),PFA 20:4 (Eicosatetraenoic) (gm),PFA 20:5 (Eicosapentaenoic) (gm),PFA 22:5 (Docosapentaenoic) (gm),PFA 22:6 (Docosahexaenoic) (gm),Compare food consumed yesterday to usual,Total plain water drank yesterday (gm),Total tap water drank yesterday (gm),Total bottled water drank yesterday (gm),NULL,On special diet?,Weight loss/Low calorie diet,Low fat/Low cholesterol diet,Low salt/Low sodium diet,Sugar free/Low sugar diet,Low fiber diet,High fiber diet,Diabetic diet,Weight gain/Muscle building diet,Low carbohydrate diet,High protein diet,Gluten-free/Celiac diet,Renal/Kidney diet,Percent of calories that are fat,Total fat calories,Percent of calories that are protein,Percent of calories that are carbohydrates,Percent of calories that are saturated fats,Total saturated fat calories,RFM Metric,Height to Waist Ratio,Under 18,Under 15
1,-0.010443279006455076,0.045018462349465306,0.015942566653784768,-0.02171833281029287,0,-0.05409400876982977,0,0.01850897000350541,-0.1784551816900345,0.05852911226638513,0.04446060461708312,0,0.04818642863920998,0,0.04880538734648766,0,0.054618409343944095,0,0.00812790829930537,-0.013221068701140785,-0.023502272430994557,0.010188856544004699,-0.003104607257815817,0.012370579288206318,0.01815314626405894,0.016393656123877217,0.009685917929164223,0.061009492469829965,0.03481478305718273,0.062332914133820694,0.8474452886241707,0,-7.787272834815393e-4,0.04233219082595604,0.015574619365000035,0.028931931859517444,0.03162472486264163,-0.029314286119197473,-0.005113583913029969,0.023515488362617364,-0.005791984304360464,-0.02166061677014632,0.020158615473045403,0.018160925208589855,0.026829160020868027,-0.00282314133340562,0.018677500649790603,0.020423338262601416,-0.0072892680565948996,0.02579022973738367,0.007699522405892457,-0.035158354335398385,0.9582234847541481,0.043049168444203555,-0.06750997205256866,-0.015940649915706016,-0.03699091282071157,-0.06125300307350781,-0.06647069065757386,-0.03636521254260287,0.044550809872127464,0.03542432301564125,0.020230927909497716,0.03887746784210145,0.03798123326779736,0.021100493474887138,-0.0027349387953586753,-0.019167473289729862,-0.02401172687028586,-0.018908460993214773,-0.013916040173882106,-0.005363284518473854,-0.028872349085465012,-0.014094247657225181,-0.033649765940209346,-0.0680265854761423,-0.029413572647300816,-0.039189150317167534,-0.0716896495862667,-0.06651815262182585,-0.037438952040149,-0.07299310295329196,0.0014784127267717093,-0.03291179414409128,-0.045556031390310864,-0.041704596915739633,-0.0524861496847103,0.0027304930833829126,-0.05170717389988645,-0.03813697886149111,-0.025861335125500064,-0.07011041803693935,-0.05758246014986639,-0.03280580260854325,-0.04732428229381242,-0.05579470651750695,-0.03840577330694533,0.009343402586140293,-7.563017187034435e-5,0.012153265395852039,-0.004571399822005477,-0.044690915538677344,-0.001211353764320554,0.00513133110692012,0.036209057698567096,0.04025373483432967,0.02283610221300186,0.04697781624696487,0.013869387238880879,0.04672552134836515,0.03254729290518933,0.046007504080442775,0.008582132460014864,0.04290372735756188,0.02256316663398955,-0.012655113704049785,-0.0063801280831865944,0.02123716563781069,0.038800130858299586,-0.0015026942692665391,0.013572426959505982,0.043396961723570174,-0.011368572510037405,0.06958573160415978,0.9752143294659218,0.006344092678850409,0,0,0,0,0,0,0,0,0,0,0,0,0.13461815339542574,0.044550809872127464,-0.029055217751571577,-0.10304228861008494,0.08237260724393408,0.03542432301564125,0.038309518784913094,-0.05292395242971233,-0.02327974316713747,-0.023345167738750793
-0.010443279006455076,1,0.027133793914846372,-0.35182558043230383,0.1968088945589536,0,0.02637024040951385,0,-0.06018916658637062,-0.6225986998706793,0.08233912379739342,-0.037029054904225006,0,0.008341408796535627,0,0.0497102899633553,0,0.08646036152580319,0,0.04299531857805668,0.01597151314143238,-0.04347636946023394,-0.012243500482248261,-0.010295581299709441,-0.02208575249375276,5.36874243538979e-4,0.0109562850407089,0.01208303620288262,7.236026412287168e-4,-0.04213112997713627,-0.009848298532966333,-0.008157274664558664,0,0.037564789859314815,0.05442715040993045,0.16039343635205836,0.007506493811955849,0.007355573449809731,-0.001138479182915722,0.0020143433213175906,-0.060362933959104276,-0.14553535839650408,0.004105108900407424,0.005260158932586476,-0.011286508018080186,-0.0010061658228429338,-0.041371139132400085,-0.00641566390761815,0.017310023109038928,-0.14310391071105513,-0.015106609449531499,-0.0017860357623419613,0.015143363900839138,-0.012080077918975193,-0.04191676585532045,-0.009546559848192101,-0.03298379180416033,-0.02582742447930153,-0.025384715912341392,-0.014364307667958391,-0.01894649720018172,-0.029585927507764176,-0.02829451989620076,-0.027043501160141797,-0.02288574844725479,-0.002625598366251803,-0.0168322601940419,0.0010548177176754369,-0.0056452782812812,-0.009532241968139791,-0.0016171559363785456,-0.00919809082601765,-1.2449988418143738e-4,-0.004862329383608324,-0.01079016404720937,-0.02927203692048609,-0.027475139355631614,-0.03173550301682546,-0.020899003580720568,-0.029912195912294222,-0.020573965365086228,-0.025967568332493553,-0.02768593220737833,-0.009773640601272133,-0.01316046599621573,-0.011388960408412281,0.0011499810042713571,0.0045781856772615405,-0.015606614112674682,-0.015349095535683196,-0.02646558781905564,-0.025835771772727698,-0.026162748272589846,-0.026345509777371382,-0.018688966672752293,-0.031648356907919985,-0.016430894866243866,-0.019810428826497736,-0.02068403899028001,-0.011813456155108988,-0.022918016160798863,-0.02177449368301484,-0.015075137384499924,-0.01595219801053483,-0.017199478924350448,-0.022718219663773607,-0.01672955401349834,-0.02254657696889737,-0.027965738743059094,-0.025357561651394037,-0.021398536274236254,-0.027286356628747812,-0.016460549090470747,-0.002182561633895864,-0.024418555873471255,-0.016887206338975835,0.00267178555748132,-0.008122634892972836,0.006074865597295356,0.006081746117734317,0.011213394411423409,0.02688401366812036,-0.008571045645757006,-0.003927618693570189,-0.006846599706429917,-0.009857405049990803,0.032652926547156916,0,0,0,0,0,0,0,0,0,0,0,0,-0.013422787532332659,-0.029585927507764176,0.009099739616213227,0.016506489094549086,-0.011529212442601458,-0.028294519896200757,0.09808202171824254,-0.09837967936124628,-0.03246614067588173,-0.01931651618257199
0.045018462349465306,0.027133793914846372,1,0.08206566484352389,0.939391689896874,0,0.8724936718975942,0,0.7817212296744156,0.5609602429385068,0.9164388630864325,0.46448671838608196,0,0.8496515686971936,0,0.9648556568561887,0,0.9505711514057399,0,0.05952011077321483,-0.006864389310166216,-0.13684804090538252,-0.04568603487975826,-0.0871686957368311,-0.022263678636466864,0.03243987555828566,-0.02210090662905324,0.013091392626200507,0.011706134356330316,0.10543602490840019,0.06810318067465333,0.03582437715929151,0,-0.08819959567210378,0.6122920207377378,0.8626999111248959,0.008225045366497015,-0.01908542400283636,-0.006617771446436203,0.03354761696025685,0.028433758525899754,-0.017523785722587226,-0.03725468240585937,0.7277864112369882,0.03464876623703415,-0.03655753308366051,0.004950111484156998,0.039709213539356546,0.014721104936652681,0.023509328745885533,0.04203374238010569,-0.04818169886533927,-0.007907092704700426,0.04657741694078971,0.10386316677868628,0.04750689981034847,0.219641115127885,0.26041810507200663,0.1272928589045284,0.04401424103274471,0.15244641086348462,0.21899817870859142,0.14766173328184426,0.22865217965920087,0.21703862651368364,0.23043582962488462,0.12829143558634687,-0.07710383917466258,-0.034779441728383514,0.008010029236345112,0.017337130092788634,0.06447095748343322,0.01350754111507081,0.04977157588788548,0.08285587061565976,0.10952977996427653,0.10032535611133139,0.22536682013813644,0.16261194995968842,0.10874551495218224,-0.007382016602559369,0.20756326095168393,0.07098414644683576,0.22439332464353978,0.061351970681200865,-0.02093881585766396,-0.01783201862369757,-0.12579464578933341,0.10186692156847472,0.006856857968586739,0.1751359166843363,0.217926185120441,0.05577054151709156,0.1358725414586697,0.14197542257311252,0.2717368131963793,0.1798756861992773,0.24425324051344566,0.29812929184857095,0.008897514274094893,0.12152055905078019,0.3991597881697041,0.04205439370960263,0.012210633101695411,-0.13722526432521373,-0.05840037681328137,-0.05414358064609399,0.05778488896864058,0.18168801376203622,0.1975119149186889,0.23159379389744417,0.2214819881312401,0.1853251749950171,0.06022395608179634,0.21243953235820745,0.19755167754078018,0.05286766658475068,0.17336224377126835,0.05767959847108491,0.11172741098262592,0.05590640885180087,0.04135321393976364,0.32102132320153853,0.1835480764827782,0.2156804546785333,0.046030348203249256,-0.1160746086699474,0,0,0,0,0,0,0,0,0,0,0,0,0.060739460558883865,0.21899817870859142,0.16393491443567254,-0.18109355393161328,-0.08539431050481762,0.14766173328184426,0.4113041514537971,-0.6920630723558406,-0.7042412757623678,-0.7473879114852044
0.015942566653784768,-0.35182558043230383,0.08206566484352389,1,0.10628214741859861,0,0,0,0.04502299345798196,0.403782240308291,0.05365774043143404,-0.08375503104924403,0,0.04830180486883102,0,0.032401169071785,0,0.08184221634644087,0,-0.017000577557487732,0.012331952217720286,0.04198809814226192,-0.0036697704599007244,0.025747763912265964,0.02097473435777838,-0.035455782422311025,0.003938404843573065,0.008007701606310811,-0.00576730234428927,-0.009793364689963844,0.026770899582994084,0.013238263660650227,0,0.008605234013371382,-0.017379028862670867,-0.17976755702501374,-0.010136980639003361,-0.009935171137061504,0.023640643738457815,0.00475440074189085,0.017335978581483353,-0.05091387573518376,-0.0040651670396743495,0.012943454249500694,0.003328795678208899,-9.58182340093701e-4,-0.002075349557259366,-0.006712974565638698,-0.010598318819135788,0.056355367310870826,0.04098090638474841,-0.03181320877564796,-0.015276332093277464,0.024871790916824628,-0.009735657003600375,0.009554065504021205,0.10957802610061086,0.09545390098912067,0.08319285036015961,0.05744696695649974,0.018881745471721518,0.11504755395239213,0.12338432300080396,0.10271173818761246,0.07457089545337234,0.07091273241925894,0.05651299820123693,-0.0029382648856673514,0.012588517140398056,0.0034335138085893253,-0.03011132964618098,-0.01033343252265911,0.04534197677401468,0.08070927618149597,0.02064456342908532,0.0929714258945904,0.08177287405303775,0.1307121823525097,0.06864341278031252,0.08992275520874393,0.07932924177635196,0.058338725563349576,0.08901014290364358,0.04134893057320175,0.02268483552442989,0.028558559532021896,0.0323417786710126,-0.03029821296338436,0.04006254936318323,0.03535508136895299,0.07077716047975412,0.024770476144288962,0.08013526789512886,0.03658316417312668,0.007845827865063586,0.11049496415397718,0.02875463875262863,0.10765306248505087,0.01704731095444839,-0.0018483153297559434,-0.00248090842288106,0.04559080636617353,0.07628773440646303,0.06785952249979943,0.07244555415297797,0.09543307070460752,0.04301841052678323,0.10043417030686555,0.13379582954662206,0.09767401672160965,0.11844880833393401,0.09880450624908063,0.07455078771688513,0.003840019495532845,0.07625564951794771,0.05503473156530672,-0.0789071522894607,0.06418844785927956,-0.025709208990406306,0.0017454782960392222,-0.02220099685763487,-0.020812138510369615,0.0067795612170506135,-0.00484759577181584,0.014594016018918786,0.028837251183966857,0.006603054490673392,0,0,0,0,0,0,0,0,0,0,0,0,0.08585450641627235,0.11504755395239213,-0.024421638757261516,-0.0598352385008371,0.07291715846574369,0.12338432300080396,0.04512979856870903,-0.045808793808581445,0.0011992452383328086,-0.01202045039075742
-0.02171833281029287,0.1968088945589536,0.939391689896874,0.10628214741859861,1,0,0.872385262957985,0,0.989158436683428,-0.037503530349572364,0.08756508645099605,0,0,0.9488914624130845,0,0.6322928551018041,0,0.503638494257197,0,0.022433295771453046,-0.017119990077273304,-0.002737555906271056,0.020272313751783587,0.0012113873668514836,-0.01539356436281199,0.007377259267069007,0.03407169283330628,0.007094085877613041,-0.006760366410408258,0.04468642562657882,0.016635813950780027,-0.0077841842122509785,0,-0.05830112485740677,0.9126757574087199,0.9398456368143271,0.0891692269259525,0.08418196546842506,0.0024171395432583524,0.08398606493992275,0,0,0.009744543047929459,0,0.018339093503569468,-0.0010008234881817046,-0.015254040570169634,0.036607118413177035,0,0,0,0,0.012510950192744261,-0.022057759318107436,0.009881768926164726,0.4154516552217759,0.5261971473110044,0.5740843440278054,0.5410279284437759,0.21399156581085002,0.5526002499318784,0.32972384040282715,0.19313363056870345,0.32984519053890893,0.30541493420157273,0.4231045435418716,-0.25010832676326045,-0.6079829490476167,-0.14937249729695556,-0.11183752220832455,-0.02533886729183011,-0.009508684096933388,0.20929989796573004,0.25051918542563933,0.13368336848034149,0.33640481957588403,0.29841717265179174,0.3569194581811666,0.45871002086976065,0.4225939028946212,0.18834546226046708,0.5391346202376001,0.35093169111174544,0.2825400309735489,0.31309379278519633,-0.28558794668891146,-0.025926752344274533,-0.3173784830926075,-0.055840722270959826,0.22732012538483146,0.5303639641412762,0.5394597142484532,-0.20414848755775372,0.1377026060572981,0.12818810443776105,0.6673300407348263,0.4773183468577439,0.5706383326128751,0.1586407912419267,0.25565475969827,0.03159241666972808,0.2817862002578605,0.4413770782786896,0.306452320797186,-0.3359224721413608,-0.26601747868108483,-0.6135909511576646,0.11348671004034402,0.37992133197710415,0.49046385629941047,0.48921033647772744,0.3039641274066218,0.38548486218562705,-0.01256559372355251,0.31014439619904915,0.2554283347664324,0.10099755404031568,-0.36559865749246967,0.10488095698975519,0.2555463092048027,-0.35083034705540855,0.03191375506810983,0.44264009805164556,0.3303506598586519,0.24269505120865886,-0.025818264135558395,0.04149775827024,0,0,0,0,0,0,0,0,0,0,0,0,-0.4409826192992906,0.32972384040282715,0.44261722596390185,0.23754122582568793,-0.485048605284956,0.19313363056870345,-0.23296068526115774,0.2778424664346722,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.05409400876982977,0.02637024040951385,0.8724936718975942,0,0.872385262957985,0,1,0,0,0,0,0,0,0.5607013567912736,0,0.514086305006018,0,0,0,0.008737977375800624,-0.010089277298749899,0.030876224959411946,0.005287184176232448,0.025611056420102283,0.022342712570115088,-0.024454801795401677,-0.009702152633163088,0.06391984106093708,0.02000323783114361,0.10511314414769157,0.05092595614477777,-0.03725159201568626,0,-0.1921198611459892,0,0.7848421081286924,-0.03448704073063655,-0.030306380232420087,0.004228823423251503,0.027701010074681506,0,0,0.007846288962151896,0,0.03502992292992059,0.028339369324139614,-0.034170465475024274,0.04629758208755583,0,0,0,0,-0.04437922816141242,-0.04983269593490892,0.06401014922585044,0.18977392393090856,0.2699805740843988,0.22416853319845345,0.3698683669990316,0.2189107674330873,0.37903814675210695,0.09463014422862233,0.07490030696483777,0.07628685602925023,0.10317803205132148,0.14276703660723875,0.17271788519916847,0.08540269555465616,-0.005276369420490316,0.21794398725177,0.19901661046443653,0.26113905804396703,0.13684033850542945,0.05685186777994647,0.1867507718034448,0.1995011120585433,0.25447446498750864,0.23423917277557055,0.33785407242372334,0.2528636599941495,0.1177849330451612,0.3062999179449325,0.21092989979494903,0.1519725380808529,0.1156361941516285,0.08076548046506962,0.2363555822402841,0.08617614896042054,0.0936432139114419,0.1737168053761982,0.21671862272296138,0.34429200922473424,0.25562387861768016,0.18584249930642752,0.23494447817244402,0.24740777933741945,0.3505758229216073,0.22551437868380086,0.04411925782360498,0.07631193352275616,0,0.2547947951535371,0.139795258315873,0.06298473718368991,-0.007225523599871904,-0.006860196685801242,0.026589062106428422,0.07015325654373854,0.09534863036188372,0.14185032474569456,0.1756393133151149,0.0723367412136832,0.019318527538297648,0.054069539763131266,0.09988606217681432,0.1045197577075097,0.1178003523148567,-0.013505522908924513,0.1143378582840915,0.0891967778888072,-0.015980027701846384,0.014312324157911449,0.17146780406606224,0.09469747767180951,0.14576936714327698,-0.05166560970236632,0.022815841882102415,0,0,0,0,0,0,0,0,0,0,0,0,-0.3803843565801162,0.09463014422862233,-0.027583955253546174,0.41842089313933756,-0.19653917796267814,0.07490030696483777,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01850897000350541,-0.06018916658637062,0.7817212296744156,0.04502299345798196,0.989158436683428,0,0,0,1,0,0.5088338126976019,0.8148170266505362,0,0.9608014329661498,0,0.7343377260403493,0,0.6859014557183648,0,0.045839951677615,-0.016604372556508797,-0.09884480153160363,-0.026747238281087663,-0.0686198877373615,0.001664965548102556,0.04387324366244148,-0.04527343807611184,0.025859755693060343,0.013694475072738401,0.13961492957298263,0.0807481552482588,0.01518088682070073,0,-0.20634870659465884,0.5415240668757759,0,0.04669683330860311,0.022549631090904895,0.003558185014511679,0.03218500576136149,0.15408981548878783,-0.03595130783798508,-0.07733352661276859,0.7034158913447297,0.015497817690557626,-0.06664057565555447,0.004346078181995027,0.01603238358606257,-0.061480686325363694,0.02668350169635545,0.04471435379200127,-0.0934739649085416,-0.004706855907005664,0.01846633449895795,0.1422303319221017,-0.004003702398906177,0.2305129351889922,0.2540118660849114,0.13837785961734173,0.06215920714858861,0.14425361710825824,0.21968223685151994,0.1633232948555842,0.22694926017045658,0.20490614499076318,0.1970755772803747,0.1751937792158844,0.03403593212250277,-0.006113427987469593,0.03856113555855897,0.026840914908105622,0.07814707917756182,-7.4082796757184e-4,0.050668523653797884,0.08432571151514157,0.13505700067688603,0.12741403905935425,0.24026572423996753,0.1723196941462521,0.12317838628245487,0.0184725733578614,0.19884746653798763,0.08988593783822948,0.23110141477303284,0.06538706294408286,0.02371052961555718,0.0027320411155279,-0.048119985519337834,0.10805937642173132,0.032395450432623034,0.17618031232056336,0.224805254084898,0.1303454322057313,0.1694899611202131,0.15442473343899102,0.2548519582940486,0.18693395038691563,0.23887892815713146,0.27918862453616583,-0.001605240671897853,0.15088516386155076,0.3682880673093746,0.041578139402984035,0.02533243635244873,0.01969737668897336,0.050116901957380486,0.04967483320123955,0.08563770384516588,0.17981472972825105,0.18581720186161832,0.2021862250089235,0.22165701800235615,0.16480669042581692,0.056912330292601516,0.19927715841415217,0.18898118529109031,0.059334821542694545,0.20007002186740094,0.06266727824086102,0.10372765465376635,0.07705118934491637,0.032468804367097974,0.24514264904567154,0.1563815504065463,0.14228235239082634,0.018109802851883277,-0.06857180809500454,0,0,0,0,0,0,0,0,0,0,0,0,0.0822875297567627,0.21968223685151994,0.10403278232882988,-0.18432241427542942,-0.01454967049839495,0.1633232948555842,0.021604233499535896,-0.22530839371002337,-0.651110692214467,-0.7403527382246629
-0.1784551816900345,-0.6225986998706793,0.5609602429385068,0.403782240308291,-0.037503530349572364,0,0,0,0,1,0,-0.19531153351566222,0,0.6076224948424277,0,0.5031889323091939,0,0.522681023631097,0,0.2468243577003831,0.011006682179471546,-0.2444826814091627,-0.06264398544803747,-0.10679324682967498,-0.009189079747434593,0.014361641094032155,-0.024782109686477285,0.11596827333480293,-0.010023514221196206,0.03685519294934354,-0.010004895356744857,-0.15885203420108313,0,0.14911372521474386,0.6603741726369966,0,-0.012957566574018585,-0.07708785754738162,0.048588346564265084,0.029011833347065166,-0.019464947765953408,-0.10886621079036347,-0.009391182550836607,0.5604789289503442,0.045099732167567866,-0.07847319951732612,0.007895829986963586,0.06389943215106353,0.04606832841763702,-0.004696015149511588,-0.004627686199907809,0.00994004355935433,-0.022720944141920767,-0.16804626910543344,0.04577387230991117,0.11643666421900302,0.13959567351766686,0.17688986624816608,0.10553471777109176,0.0748479311676631,0.11722464207018025,0.11628854416139528,0.1040291078011117,0.10715404317936295,0.0970767330900373,0.12699481063110343,0.01652772535057565,-0.0996340569587795,-0.002287267391602346,0.035511139304724104,0.06290204740222136,0.0816410438709311,0.0366512435770818,-0.004956987753138852,0.13119075632457117,0.06885319122596964,0.03688476206349068,0.17459290921887072,0.09290600606758692,0.047810362762750164,-0.059075046001488316,0.18834450049902426,0.010076855361253193,0.12554914193567904,0.03076427331744452,-0.0155538165966988,0.03781788927977207,-0.10203680856691777,0.1566854939007839,-0.05901103809320994,0.08969078036002472,0.12785562094567737,0.04918744641841894,0.10045628245124745,0.1557951927657198,0.16945337455432616,0.11693252912041868,0.17312037524523766,0.20837930826870152,0.02486263719074487,0.0395708765972273,0.2595856406428436,0.04082591928022456,-0.0047607214743258155,-0.09432552624697862,-0.029314407015614347,0.056103583543377245,0.05426475503602049,0.11299399341480418,0.12440709277091595,0.13617985255130063,0.10129095082705374,0.07263474242139785,0.014688677480867085,0.09646964391332813,0.05982117331925121,0.010231380836815365,0.14106242862748902,-0.010206064808993866,0.05371232907790785,0.02307249854114736,-0.04749239389672955,0.2012932547932914,0.15670066580025696,0.0880798515560264,-0.18428617142945028,-0.03720248185802105,0,0,0,0,0,0,0,0,0,0,0,0,-0.025977770244449354,0.11628854416139528,0.07673798337819733,-0.03820046883547777,-0.02858903607517297,0.1040291078011117,0,0,-0.6879462024092802,-0.6950696929962333
